              Seq predicted  prediction
    MSTRG.40350.6  1:lncRNA       0.852
    MSTRG.40350.7    2:mRNA       0.596
    MSTRG.40350.8    2:mRNA       0.596
    MSTRG.40350.9    2:mRNA       0.596
   MSTRG.40350.10    2:mRNA       0.596
    MSTRG.40401.1  1:lncRNA       0.863
    MSTRG.40421.1  1:lncRNA       0.863
    MSTRG.40423.1    2:mRNA       1.000
    MSTRG.40424.1  1:lncRNA       0.863
    MSTRG.40426.1    2:mRNA       0.596
    MSTRG.40426.2    2:mRNA       0.596
    MSTRG.40426.3    2:mRNA       0.596
    MSTRG.40426.4  1:lncRNA       0.825
    MSTRG.40426.5    2:mRNA       0.596
    MSTRG.40426.6    2:mRNA       0.596
    MSTRG.40426.7    2:mRNA       0.596
    MSTRG.40426.8    2:mRNA       0.596
    MSTRG.40426.9    2:mRNA       0.596
   MSTRG.40426.10  1:lncRNA       0.852
   MSTRG.40426.11    2:mRNA       0.596
   MSTRG.40426.12    2:mRNA       0.596
   MSTRG.40426.13    2:mRNA       0.596
   MSTRG.40426.14    2:mRNA       0.596
   MSTRG.40426.15    2:mRNA       0.596
   MSTRG.40426.16    2:mRNA       0.596
   MSTRG.40426.17    2:mRNA       0.596
   MSTRG.40426.18    2:mRNA       0.596
   MSTRG.40426.19    2:mRNA       0.596
   MSTRG.40426.20    2:mRNA       0.596
   MSTRG.40426.21    2:mRNA       0.596
   MSTRG.40426.22    2:mRNA       0.596
   MSTRG.40426.23    2:mRNA       0.596
    MSTRG.40429.1    2:mRNA       1.000
    MSTRG.40430.1    2:mRNA       1.000
    MSTRG.40430.2    2:mRNA       1.000
    MSTRG.40429.2    2:mRNA       1.000
    MSTRG.40432.1  1:lncRNA       0.863
    MSTRG.40441.1  1:lncRNA       0.852
    MSTRG.40449.1  1:lncRNA       0.863
    MSTRG.40459.1  1:lncRNA       0.863
    MSTRG.40459.2  1:lncRNA       0.863
    MSTRG.40460.1  1:lncRNA       0.863
    MSTRG.40462.1    2:mRNA       0.596
    MSTRG.40465.1  1:lncRNA       0.852
    MSTRG.40490.1    2:mRNA       1.000
    MSTRG.40495.1  1:lncRNA       0.852
    MSTRG.40496.1  1:lncRNA       0.782
    MSTRG.40496.2    2:mRNA       1.000
    MSTRG.40504.1  1:lncRNA       0.863
    MSTRG.40505.1  1:lncRNA       0.852
    MSTRG.40507.1  1:lncRNA       0.852
    MSTRG.40518.1  1:lncRNA       0.863
    MSTRG.40550.1  1:lncRNA       0.852
    MSTRG.40555.2  1:lncRNA       0.760
    MSTRG.40556.1  1:lncRNA       0.863
    MSTRG.40587.1  1:lncRNA       0.863
    MSTRG.40601.1  1:lncRNA       0.852
    MSTRG.40602.1  1:lncRNA       0.852
    MSTRG.40603.1  1:lncRNA       0.863
    MSTRG.40614.1  1:lncRNA       0.863
    MSTRG.40623.1  1:lncRNA       0.863
    MSTRG.40634.1  1:lncRNA       0.863
    MSTRG.40635.1  1:lncRNA       0.852
    MSTRG.40636.1  1:lncRNA       0.863
    MSTRG.40639.1    2:mRNA       1.000
    MSTRG.40640.1  1:lncRNA       0.852
    MSTRG.40640.3  1:lncRNA       0.852
    MSTRG.40640.2  1:lncRNA       0.852
    MSTRG.40640.5    2:mRNA       1.000
    MSTRG.40640.4    2:mRNA       1.000
    MSTRG.40640.6  1:lncRNA       0.852
    MSTRG.40640.7  1:lncRNA       0.782
    MSTRG.40640.8  1:lncRNA       0.852
    MSTRG.40641.1  1:lncRNA       0.863
    MSTRG.40651.1  1:lncRNA       0.782
    MSTRG.40673.1  1:lncRNA       0.852
    MSTRG.40680.1  1:lncRNA       0.863
    MSTRG.40690.1  1:lncRNA       0.863
    MSTRG.40703.1  1:lncRNA       0.852
    MSTRG.40707.1  1:lncRNA       0.863
    MSTRG.40718.1  1:lncRNA       0.852
    MSTRG.40718.2  1:lncRNA       0.852
    MSTRG.40732.1    2:mRNA       1.000
    MSTRG.40734.1  1:lncRNA       0.852
    MSTRG.40772.1    2:mRNA       1.000
    MSTRG.40772.2    2:mRNA       1.000
    MSTRG.40772.3  1:lncRNA       0.852
    MSTRG.40772.4    2:mRNA       1.000
    MSTRG.40772.5  1:lncRNA       0.852
    MSTRG.40772.6    2:mRNA       1.000
    MSTRG.40772.7  1:lncRNA       0.852
    MSTRG.40779.1  1:lncRNA       0.852
    MSTRG.40784.1    2:mRNA       1.000
    MSTRG.40798.1  1:lncRNA       0.852
    MSTRG.40810.1  1:lncRNA       0.863
    MSTRG.40840.1    2:mRNA       0.596
    MSTRG.40851.1    2:mRNA       1.000
    MSTRG.40851.2    2:mRNA       1.000
    MSTRG.40851.3  1:lncRNA       0.852
    MSTRG.40852.1    2:mRNA       1.000
    MSTRG.40855.1    2:mRNA       0.596
    MSTRG.40855.2    2:mRNA       0.596
    MSTRG.40889.1  1:lncRNA       0.863
    MSTRG.40901.1  1:lncRNA       0.863
    MSTRG.40907.1  1:lncRNA       0.852
    MSTRG.40931.1  1:lncRNA       0.863
    MSTRG.40937.1    2:mRNA       1.000
    MSTRG.40939.1  1:lncRNA       0.863
    MSTRG.40945.1  1:lncRNA       0.863
    MSTRG.40948.1  1:lncRNA       0.852
    MSTRG.40956.1  1:lncRNA       0.863
    MSTRG.40975.2  1:lncRNA       0.852
    MSTRG.40975.1  1:lncRNA       0.852
    MSTRG.40979.1    2:mRNA       1.000
    MSTRG.40980.1    2:mRNA       1.000
    MSTRG.40981.1  1:lncRNA       0.863
    MSTRG.40988.1  1:lncRNA       0.852
    MSTRG.40995.1    2:mRNA       1.000
    MSTRG.40995.2    2:mRNA       1.000
    MSTRG.40998.1  1:lncRNA       0.852
    MSTRG.40999.1  1:lncRNA       0.863
    MSTRG.41008.1  1:lncRNA       0.782
    MSTRG.41010.1  1:lncRNA       0.863
    MSTRG.41012.1  1:lncRNA       0.863
    MSTRG.41015.1  1:lncRNA       0.852
    MSTRG.41030.1    2:mRNA       1.000
    MSTRG.41034.1  1:lncRNA       0.852
    MSTRG.41035.1  1:lncRNA       0.852
    MSTRG.41048.1  1:lncRNA       0.782
    MSTRG.41049.1  1:lncRNA       0.782
    MSTRG.41050.1  1:lncRNA       0.852
    MSTRG.41051.1  1:lncRNA       0.852
    MSTRG.41052.1    2:mRNA       1.000
    MSTRG.41052.2    2:mRNA       1.000
    MSTRG.41052.3  1:lncRNA       0.863
    MSTRG.41070.1  1:lncRNA       0.863
    MSTRG.41082.1  1:lncRNA       0.852
    MSTRG.41083.1  1:lncRNA       0.782
    MSTRG.41084.1  1:lncRNA       0.782
    MSTRG.41092.1  1:lncRNA       0.863
    MSTRG.41102.1  1:lncRNA       0.863
    MSTRG.41104.1  1:lncRNA       0.852
    MSTRG.41104.2  1:lncRNA       0.852
    MSTRG.41104.3  1:lncRNA       0.852
    MSTRG.41105.1  1:lncRNA       0.863
    MSTRG.41119.1  1:lncRNA       0.863
    MSTRG.41148.1  1:lncRNA       0.852
    MSTRG.41148.2  1:lncRNA       0.852
    MSTRG.41148.3  1:lncRNA       0.863
    MSTRG.41150.2    2:mRNA       1.000
    MSTRG.41150.4    2:mRNA       1.000
    MSTRG.41150.5    2:mRNA       1.000
    MSTRG.41150.6  1:lncRNA       0.852
    MSTRG.41150.7  1:lncRNA       0.852
    MSTRG.41150.8  1:lncRNA       0.852
    MSTRG.41157.1  1:lncRNA       0.863
    MSTRG.41172.1  1:lncRNA       0.863
    MSTRG.41175.1  1:lncRNA       0.852
    MSTRG.41175.2  1:lncRNA       0.852
    MSTRG.41185.1  1:lncRNA       0.782
    MSTRG.41185.2  1:lncRNA       0.782
    MSTRG.41185.3  1:lncRNA       0.782
    MSTRG.41188.1  1:lncRNA       0.782
    MSTRG.41188.2  1:lncRNA       0.852
    MSTRG.41188.3  1:lncRNA       0.852
    MSTRG.41189.1  1:lncRNA       0.852
    MSTRG.41189.2    2:mRNA       0.596
    MSTRG.41190.1  1:lncRNA       0.920
    MSTRG.41194.1  1:lncRNA       0.863
    MSTRG.41195.1  1:lncRNA       0.852
    MSTRG.41195.2  1:lncRNA       0.852
    MSTRG.41195.3  1:lncRNA       0.852
    MSTRG.41199.2  1:lncRNA       0.782
    MSTRG.41217.1  1:lncRNA       0.863
    MSTRG.41218.1  1:lncRNA       0.852
    MSTRG.41218.2  1:lncRNA       0.852
    MSTRG.41218.3  1:lncRNA       0.852
    MSTRG.41222.1    2:mRNA       1.000
    MSTRG.41227.1  1:lncRNA       0.863
    MSTRG.41232.1  1:lncRNA       0.863
    MSTRG.41233.1  1:lncRNA       0.863
    MSTRG.41238.1  1:lncRNA       0.763
    MSTRG.41238.2  1:lncRNA       0.763
    MSTRG.41238.3  1:lncRNA       0.763
    MSTRG.41238.4  1:lncRNA       0.852
    MSTRG.41238.5  1:lncRNA       0.763
    MSTRG.41239.1  1:lncRNA       0.782
    MSTRG.41253.1    2:mRNA       1.000
    MSTRG.41256.1    2:mRNA       1.000
    MSTRG.41258.1  1:lncRNA       0.863
    MSTRG.41260.1  1:lncRNA       0.863
    MSTRG.41272.1  1:lncRNA       0.852
    MSTRG.41274.1  1:lncRNA       0.852
    MSTRG.41280.1  1:lncRNA       0.852
    MSTRG.41286.1  1:lncRNA       0.852
    MSTRG.41289.1  1:lncRNA       0.863
    MSTRG.41292.1    2:mRNA       1.000
    MSTRG.41299.1    2:mRNA       1.000
    MSTRG.41301.1    2:mRNA       1.000
    MSTRG.41301.2    2:mRNA       0.596
    MSTRG.41301.3  1:lncRNA       0.852
    MSTRG.41301.4    2:mRNA       1.000
    MSTRG.41301.5    2:mRNA       0.596
    MSTRG.41301.6    2:mRNA       1.000
    MSTRG.41301.7    2:mRNA       1.000
    MSTRG.41301.8    2:mRNA       0.596
    MSTRG.41301.9  1:lncRNA       0.852
   MSTRG.41301.10    2:mRNA       0.596
   MSTRG.41301.11    2:mRNA       1.000
   MSTRG.41301.12    2:mRNA       0.596
   MSTRG.41301.13    2:mRNA       1.000
   MSTRG.41301.14  1:lncRNA       0.852
   MSTRG.41301.15    2:mRNA       1.000
    MSTRG.41302.1    2:mRNA       0.596
    MSTRG.41302.2    2:mRNA       0.596
    MSTRG.41306.1  1:lncRNA       0.852
    MSTRG.41306.2  1:lncRNA       0.852
    MSTRG.41314.1  1:lncRNA       0.863
    MSTRG.41317.1  1:lncRNA       0.863
    MSTRG.41326.1    2:mRNA       1.000
    MSTRG.41339.1  1:lncRNA       0.852
    MSTRG.41342.1    2:mRNA       1.000
    MSTRG.41342.2    2:mRNA       1.000
    MSTRG.41342.3    2:mRNA       1.000
    MSTRG.41342.4    2:mRNA       1.000
    MSTRG.41342.5    2:mRNA       1.000
    MSTRG.41342.6    2:mRNA       0.596
    MSTRG.41342.7    2:mRNA       1.000
    MSTRG.41342.8    2:mRNA       1.000
    MSTRG.41342.9    2:mRNA       1.000
    MSTRG.41346.1  1:lncRNA       0.863
    MSTRG.41355.1  1:lncRNA       0.697
    MSTRG.41369.1  1:lncRNA       0.863
    MSTRG.41374.1  1:lncRNA       0.863
    MSTRG.41375.1  1:lncRNA       0.852
    MSTRG.41392.1    2:mRNA       1.000
    MSTRG.41395.1    2:mRNA       1.000
    MSTRG.41398.1    2:mRNA       1.000
    MSTRG.41401.1  1:lncRNA       0.863
    MSTRG.41419.1  1:lncRNA       0.782
    MSTRG.41426.1  1:lncRNA       0.852
    MSTRG.41428.1  1:lncRNA       0.852
    MSTRG.41430.1    2:mRNA       1.000
    MSTRG.41441.1  1:lncRNA       0.863
    MSTRG.41443.1  1:lncRNA       0.863
    MSTRG.41445.1  1:lncRNA       0.863
    MSTRG.41447.1    2:mRNA       0.596
    MSTRG.41449.1  1:lncRNA       0.852
    MSTRG.41453.1    2:mRNA       1.000
    MSTRG.41469.1  1:lncRNA       0.852
    MSTRG.41489.1  1:lncRNA       0.863
    MSTRG.41490.1  1:lncRNA       0.852
    MSTRG.41490.2  1:lncRNA       0.852
    MSTRG.41490.3  1:lncRNA       0.852
    MSTRG.41490.4  1:lncRNA       0.825
    MSTRG.41490.5  1:lncRNA       0.852
    MSTRG.41490.6  1:lncRNA       0.852
    MSTRG.41491.1  1:lncRNA       0.863
    MSTRG.41494.1  1:lncRNA       0.782
    MSTRG.41496.1    2:mRNA       0.596
    MSTRG.41497.1  1:lncRNA       0.782
    MSTRG.41502.1  1:lncRNA       0.852
    MSTRG.41504.1  1:lncRNA       0.863
    MSTRG.41513.1  1:lncRNA       0.782
    MSTRG.41513.2  1:lncRNA       0.782
    MSTRG.41518.3    2:mRNA       1.000
    MSTRG.41518.4  1:lncRNA       0.852
    MSTRG.41519.1  1:lncRNA       0.863
    MSTRG.41523.1  1:lncRNA       0.863
    MSTRG.41530.1    2:mRNA       1.000
    MSTRG.41540.1    2:mRNA       1.000
    MSTRG.41551.1  1:lncRNA       0.697
    MSTRG.41555.1  1:lncRNA       0.863
    MSTRG.41579.1  1:lncRNA       0.863
    MSTRG.41587.1  1:lncRNA       0.852
    MSTRG.41591.1  1:lncRNA       0.852
    MSTRG.41592.1  1:lncRNA       0.852
    MSTRG.41597.1  1:lncRNA       0.852
    MSTRG.41597.2  1:lncRNA       0.852
    MSTRG.41598.1  1:lncRNA       0.863
    MSTRG.41617.1    2:mRNA       1.000
    MSTRG.41617.2    2:mRNA       1.000
    MSTRG.41617.3    2:mRNA       1.000
    MSTRG.41617.4    2:mRNA       1.000
    MSTRG.41617.5    2:mRNA       1.000
    MSTRG.41617.6    2:mRNA       1.000
    MSTRG.41617.7    2:mRNA       1.000
    MSTRG.41621.1  1:lncRNA       0.852
    MSTRG.41630.1  1:lncRNA       0.863
    MSTRG.41636.1    2:mRNA       1.000
    MSTRG.41636.2    2:mRNA       1.000
    MSTRG.41636.3  1:lncRNA       0.825
    MSTRG.41636.4  1:lncRNA       0.852
    MSTRG.41636.5    2:mRNA       1.000
    MSTRG.41636.6  1:lncRNA       0.852
    MSTRG.41643.1  1:lncRNA       0.863
    MSTRG.41647.1  1:lncRNA       0.863
    MSTRG.41649.1  1:lncRNA       0.763
    MSTRG.41649.2  1:lncRNA       0.852
    MSTRG.41651.1  1:lncRNA       0.852
    MSTRG.41656.1  1:lncRNA       0.863
    MSTRG.41663.1  1:lncRNA       0.852
    MSTRG.41663.2  1:lncRNA       0.852
    MSTRG.41663.3  1:lncRNA       0.852
    MSTRG.41664.1  1:lncRNA       0.863
    MSTRG.41671.1  1:lncRNA       0.863
    MSTRG.41674.1  1:lncRNA       0.852
    MSTRG.41676.1  1:lncRNA       0.863
    MSTRG.41677.1  1:lncRNA       0.863
    MSTRG.41678.1  1:lncRNA       0.863
    MSTRG.41680.1  1:lncRNA       0.782
    MSTRG.41682.1  1:lncRNA       0.852
    MSTRG.41693.1  1:lncRNA       0.863
    MSTRG.41713.1  1:lncRNA       0.863
    MSTRG.41717.1  1:lncRNA       0.852
    MSTRG.41731.1  1:lncRNA       0.763
    MSTRG.41731.2  1:lncRNA       0.760
    MSTRG.41737.1  1:lncRNA       0.863
    MSTRG.41751.1    2:mRNA       1.000
    MSTRG.41751.2    2:mRNA       1.000
    MSTRG.41751.3    2:mRNA       1.000
    MSTRG.41754.1    2:mRNA       1.000
    MSTRG.41759.1  1:lncRNA       0.852
    MSTRG.41774.1  1:lncRNA       0.955
    MSTRG.41774.2  1:lncRNA       0.852
    MSTRG.41791.1    2:mRNA       1.000
    MSTRG.41791.2    2:mRNA       1.000
    MSTRG.41791.3    2:mRNA       1.000
    MSTRG.41791.4    2:mRNA       1.000
    MSTRG.41791.5    2:mRNA       1.000
    MSTRG.41791.6    2:mRNA       0.596
    MSTRG.41814.1  1:lncRNA       0.863
    MSTRG.41818.1  1:lncRNA       0.852
    MSTRG.41826.1  1:lncRNA       0.852
    MSTRG.41826.2  1:lncRNA       0.852
    MSTRG.41829.1  1:lncRNA       0.852
    MSTRG.41829.2  1:lncRNA       0.852
    MSTRG.41856.1  1:lncRNA       0.852
    MSTRG.41856.2  1:lncRNA       0.852
    MSTRG.41859.1  1:lncRNA       0.852
    MSTRG.41863.1    2:mRNA       1.000
    MSTRG.41864.1  1:lncRNA       0.863
    MSTRG.41863.2    2:mRNA       1.000
    MSTRG.41865.1  1:lncRNA       0.852
    MSTRG.41865.2  1:lncRNA       0.852
   MSTRG.41873.16  1:lncRNA       0.852
    MSTRG.41895.1  1:lncRNA       0.863
    MSTRG.41902.1  1:lncRNA       0.852
    MSTRG.41906.1  1:lncRNA       0.852
    MSTRG.41908.1  1:lncRNA       0.863
    MSTRG.41909.1  1:lncRNA       0.852
    MSTRG.41913.1  1:lncRNA       0.852
    MSTRG.41913.2  1:lncRNA       0.852
    MSTRG.41940.1    2:mRNA       1.000
    MSTRG.41940.2  1:lncRNA       0.863
    MSTRG.41945.1    2:mRNA       0.596
    MSTRG.41960.1  1:lncRNA       0.863
    MSTRG.41965.1  1:lncRNA       0.863
    MSTRG.41964.2    2:mRNA       1.000
    MSTRG.41964.3  1:lncRNA       0.852
    MSTRG.41964.4    2:mRNA       1.000
    MSTRG.41964.5    2:mRNA       1.000
    MSTRG.41964.6    2:mRNA       1.000
    MSTRG.41964.7    2:mRNA       1.000
    MSTRG.41964.8    2:mRNA       1.000
   MSTRG.41964.10  1:lncRNA       0.852
    MSTRG.41964.9  1:lncRNA       0.825
   MSTRG.41964.12  1:lncRNA       0.852
   MSTRG.41964.13  1:lncRNA       0.852
   MSTRG.41964.11    2:mRNA       1.000
   MSTRG.41964.14    2:mRNA       1.000
   MSTRG.41964.15    2:mRNA       1.000
   MSTRG.41964.17  1:lncRNA       0.852
   MSTRG.41964.18  1:lncRNA       0.852
   MSTRG.41964.16    2:mRNA       1.000
    MSTRG.41966.1    2:mRNA       1.000
    MSTRG.41974.1  1:lncRNA       0.852
    MSTRG.41981.1    2:mRNA       1.000
    MSTRG.41984.1  1:lncRNA       0.852
    MSTRG.41988.1  1:lncRNA       0.863
    MSTRG.41991.1  1:lncRNA       0.863
    MSTRG.41997.1    2:mRNA       1.000
    MSTRG.41997.2    2:mRNA       1.000
    MSTRG.41997.3    2:mRNA       1.000
    MSTRG.41997.4    2:mRNA       1.000
    MSTRG.42004.1  1:lncRNA       0.852
    MSTRG.42004.2  1:lncRNA       0.852
    MSTRG.42005.1  1:lncRNA       0.852
    MSTRG.42006.1  1:lncRNA       0.863
    MSTRG.42007.1  1:lncRNA       0.852
    MSTRG.42007.2  1:lncRNA       0.852
    MSTRG.42011.1  1:lncRNA       0.863
    MSTRG.42015.1  1:lncRNA       0.852
    MSTRG.42015.2  1:lncRNA       0.852
    MSTRG.42015.3  1:lncRNA       0.852
    MSTRG.42016.1  1:lncRNA       0.763
    MSTRG.42016.2  1:lncRNA       0.929
    MSTRG.42016.3  1:lncRNA       0.929
    MSTRG.42016.4  1:lncRNA       0.763
    MSTRG.42016.5  1:lncRNA       0.852
    MSTRG.42027.1    2:mRNA       0.596
    MSTRG.42030.1  1:lncRNA       0.863
    MSTRG.42038.1  1:lncRNA       0.852
    MSTRG.42043.1  1:lncRNA       0.863
    MSTRG.42048.1  1:lncRNA       0.852
    MSTRG.42051.1  1:lncRNA       0.863
    MSTRG.42052.1  1:lncRNA       0.782
    MSTRG.42054.1  1:lncRNA       0.852
    MSTRG.42054.2  1:lncRNA       0.863
    MSTRG.42055.1    2:mRNA       1.000
    MSTRG.42056.1  1:lncRNA       0.852
    MSTRG.42065.1  1:lncRNA       0.852
    MSTRG.42066.1  1:lncRNA       0.852
    MSTRG.42067.1  1:lncRNA       0.852
    MSTRG.42072.2  1:lncRNA       0.852
    MSTRG.42072.1  1:lncRNA       0.782
    MSTRG.42072.3  1:lncRNA       0.852
    MSTRG.42072.4  1:lncRNA       0.852
    MSTRG.42072.5  1:lncRNA       0.782
    MSTRG.42073.1  1:lncRNA       0.863
    MSTRG.42078.1  1:lncRNA       0.852
    MSTRG.42085.1  1:lncRNA       0.852
    MSTRG.42086.1  1:lncRNA       0.852
    MSTRG.42087.1  1:lncRNA       0.852
    MSTRG.42098.1    2:mRNA       1.000
    MSTRG.42102.1  1:lncRNA       0.863
    MSTRG.42111.1  1:lncRNA       0.863
    MSTRG.42111.2  1:lncRNA       0.863
    MSTRG.42118.1  1:lncRNA       0.863
    MSTRG.42125.1  1:lncRNA       0.852
    MSTRG.42134.1    2:mRNA       1.000
    MSTRG.42134.2    2:mRNA       1.000
    MSTRG.42142.1  1:lncRNA       0.852
    MSTRG.42142.2  1:lncRNA       0.782
    MSTRG.42174.1    2:mRNA       1.000
    MSTRG.42176.1  1:lncRNA       0.863
    MSTRG.42179.1  1:lncRNA       0.863
    MSTRG.42181.1  1:lncRNA       0.697
    MSTRG.42181.2  1:lncRNA       0.697
    MSTRG.42186.1  1:lncRNA       0.782
    MSTRG.42186.2  1:lncRNA       0.782
    MSTRG.42186.3  1:lncRNA       0.782
    MSTRG.42188.1  1:lncRNA       0.863
    MSTRG.42189.1  1:lncRNA       0.863
    MSTRG.42190.1  1:lncRNA       0.863
    MSTRG.42192.1  1:lncRNA       0.863
    MSTRG.42196.1    2:mRNA       0.596
    MSTRG.42198.1  1:lncRNA       0.852
    MSTRG.42201.1  1:lncRNA       0.863
    MSTRG.42203.1  1:lncRNA       0.863
    MSTRG.42205.1  1:lncRNA       0.863
    MSTRG.42207.1  1:lncRNA       0.863
    MSTRG.42208.1  1:lncRNA       0.863
    MSTRG.42211.1  1:lncRNA       0.863
    MSTRG.42212.1  1:lncRNA       0.863
    MSTRG.42213.1  1:lncRNA       0.863
    MSTRG.42214.1  1:lncRNA       0.863
    MSTRG.42215.1  1:lncRNA       0.863
    MSTRG.42220.1  1:lncRNA       0.852
    MSTRG.42220.2  1:lncRNA       0.863
    MSTRG.42221.1  1:lncRNA       0.852
    MSTRG.42221.2  1:lncRNA       0.852
    MSTRG.42221.3  1:lncRNA       0.852
    MSTRG.42221.4  1:lncRNA       0.852
    MSTRG.42222.1  1:lncRNA       0.863
    MSTRG.42225.1  1:lncRNA       0.782
    MSTRG.42225.2    2:mRNA       1.000
    MSTRG.42226.1    2:mRNA       1.000
    MSTRG.42233.1  1:lncRNA       0.825
    MSTRG.42248.1    2:mRNA       1.000
    MSTRG.42248.2    2:mRNA       1.000
    MSTRG.42248.3    2:mRNA       1.000
    MSTRG.42251.1  1:lncRNA       0.763
    MSTRG.42256.1  1:lncRNA       0.863
    MSTRG.42259.1  1:lncRNA       0.852
    MSTRG.42281.1  1:lncRNA       0.782
    MSTRG.42282.1  1:lncRNA       0.863
    MSTRG.42289.1  1:lncRNA       0.863
    MSTRG.42304.1  1:lncRNA       0.697
    MSTRG.42304.2  1:lncRNA       0.697
    MSTRG.42316.1  1:lncRNA       0.852
    MSTRG.42318.1  1:lncRNA       0.863
    MSTRG.42320.1    2:mRNA       1.000
    MSTRG.42330.1  1:lncRNA       0.863
    MSTRG.42331.1  1:lncRNA       0.863
    MSTRG.42335.9    2:mRNA       1.000
    MSTRG.42335.3    2:mRNA       1.000
   MSTRG.42335.10    2:mRNA       1.000
    MSTRG.42335.4    2:mRNA       1.000
    MSTRG.42335.6    2:mRNA       1.000
    MSTRG.42335.7    2:mRNA       1.000
    MSTRG.42335.2    2:mRNA       1.000
    MSTRG.42335.8    2:mRNA       1.000
    MSTRG.42335.1    2:mRNA       1.000
    MSTRG.42335.5    2:mRNA       1.000
    MSTRG.42339.1  1:lncRNA       0.852
    MSTRG.42340.1  1:lncRNA       0.852
    MSTRG.42340.2  1:lncRNA       0.852
    MSTRG.42356.1  1:lncRNA       0.782
    MSTRG.42360.1    2:mRNA       1.000
    MSTRG.42383.1    2:mRNA       1.000
    MSTRG.42385.1  1:lncRNA       0.852
    MSTRG.42386.1  1:lncRNA       0.852
    MSTRG.42394.1  1:lncRNA       0.852
    MSTRG.42405.1    2:mRNA       1.000
    MSTRG.42408.1  1:lncRNA       0.852
    MSTRG.42416.1  1:lncRNA       0.863
    MSTRG.42421.1  1:lncRNA       0.852
    MSTRG.42422.1  1:lncRNA       0.863
    MSTRG.42423.1  1:lncRNA       0.863
    MSTRG.42421.2  1:lncRNA       0.852
    MSTRG.42425.1  1:lncRNA       0.852
    MSTRG.42425.2  1:lncRNA       0.825
    MSTRG.42425.3  1:lncRNA       0.852
    MSTRG.42425.4  1:lncRNA       0.852
    MSTRG.42426.1  1:lncRNA       0.863
    MSTRG.42431.1  1:lncRNA       0.852
    MSTRG.42431.2  1:lncRNA       0.852
    MSTRG.42437.1    2:mRNA       1.000
    MSTRG.42441.1  1:lncRNA       0.852
    MSTRG.42457.1  1:lncRNA       0.852
    MSTRG.42457.2  1:lncRNA       0.852
    MSTRG.42461.1  1:lncRNA       0.863
    MSTRG.42462.1  1:lncRNA       0.852
    MSTRG.42462.4  1:lncRNA       0.852
    MSTRG.42464.1  1:lncRNA       0.863
    MSTRG.42462.5  1:lncRNA       0.863
    MSTRG.42462.6  1:lncRNA       0.863
    MSTRG.42463.2  1:lncRNA       0.863
    MSTRG.42476.1  1:lncRNA       0.852
    MSTRG.42476.2  1:lncRNA       0.852
    MSTRG.42483.1  1:lncRNA       0.863
    MSTRG.42485.1    2:mRNA       1.000
    MSTRG.42488.1  1:lncRNA       0.863
    MSTRG.42492.1  1:lncRNA       0.852
    MSTRG.42496.1    2:mRNA       1.000
    MSTRG.42499.1    2:mRNA       1.000
    MSTRG.42515.1  1:lncRNA       0.825
    MSTRG.42529.1  1:lncRNA       0.863
    MSTRG.42538.1    2:mRNA       1.000
    MSTRG.42541.1    2:mRNA       0.596
    MSTRG.42541.2    2:mRNA       0.596
    MSTRG.42541.3    2:mRNA       0.596
    MSTRG.42541.4    2:mRNA       0.596
    MSTRG.42541.5    2:mRNA       0.596
    MSTRG.42541.6    2:mRNA       0.596
    MSTRG.42541.7    2:mRNA       0.596
    MSTRG.42543.1    2:mRNA       1.000
    MSTRG.42553.1    2:mRNA       1.000
    MSTRG.42553.3    2:mRNA       1.000
    MSTRG.42553.5    2:mRNA       1.000
    MSTRG.42553.6  1:lncRNA       0.852
    MSTRG.42571.1  1:lncRNA       0.697
    MSTRG.42576.1  1:lncRNA       0.852
    MSTRG.42576.2  1:lncRNA       0.852
    MSTRG.42576.3  1:lncRNA       0.852
    MSTRG.42586.1    2:mRNA       1.000
    MSTRG.42586.2    2:mRNA       1.000
    MSTRG.42595.1  1:lncRNA       0.852
    MSTRG.42596.1  1:lncRNA       0.863
    MSTRG.42600.1    2:mRNA       1.000
    MSTRG.42604.7  1:lncRNA       0.852
    MSTRG.42610.1  1:lncRNA       0.825
    MSTRG.42610.2  1:lncRNA       0.825
    MSTRG.42610.3  1:lncRNA       0.825
    MSTRG.42610.4  1:lncRNA       0.825
    MSTRG.42610.5  1:lncRNA       0.825
    MSTRG.42610.6  1:lncRNA       0.825
    MSTRG.42635.1    2:mRNA       0.596
    MSTRG.42635.2  1:lncRNA       0.852
    MSTRG.42645.1    2:mRNA       1.000
    MSTRG.42650.1  1:lncRNA       0.863
    MSTRG.42657.1  1:lncRNA       0.852
    MSTRG.42657.2  1:lncRNA       0.852
    MSTRG.42657.3  1:lncRNA       0.852
    MSTRG.42657.4  1:lncRNA       0.852
    MSTRG.42657.5  1:lncRNA       0.852
    MSTRG.42657.6  1:lncRNA       0.852
    MSTRG.42657.7    2:mRNA       0.596
    MSTRG.42660.1    2:mRNA       1.000
    MSTRG.42660.2    2:mRNA       1.000
    MSTRG.42660.3  1:lncRNA       0.852
    MSTRG.42664.1    2:mRNA       0.596
    MSTRG.42667.1  1:lncRNA       0.863
    MSTRG.42686.1  1:lncRNA       0.782
    MSTRG.42699.1    2:mRNA       1.000
    MSTRG.42701.1  1:lncRNA       0.852
    MSTRG.42719.1  1:lncRNA       0.852
    MSTRG.42722.1  1:lncRNA       0.863
    MSTRG.42724.1  1:lncRNA       0.852
